
Similarity Threshold,Article ID,Title,Journal,Authors,Affiliations,Keywords,Cluster to which the article was assigned,Number of articles in the selected cluster,Cluster ultimately selected in Phase 2 matching,Status of ReCiter's determination for this article with respect to reference standard
0.3,22575037,Candidate measures of whole plant food intake are related to biomarkers of nutrition and health in the US population (National Health and Nutrition Examination Survey 1999-2002).,"Nutrition research (New York, N.Y.)","Leah M Lipsky, Kyeongmi null Cheon, Tonja R Nansel, Paul S Albert, 22575037 null 22575037, ","Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD 20852, USA. lipskylm@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Adult,Biological Markers,Blood Glucose,Body Mass Index,C-Peptide,C-Reactive Protein,Cardiovascular Diseases,Carotenoids,Cereals,Cholesterol,Cross-Sectional Studies,Diet,Energy Intake,Female,Food Habits,Fruit,Health Food,Humans,Inflammation,Insulin,Male,Middle Aged,Nutrition Surveys,Nutritional Status,Reproducibility of Results,United States,Vegetables,",1,147,No,True Negative
0.3,22559328,Summer activity patterns among teenage girls: harmonic shape invariant modeling to estimate circadian cycles.,Journal of circadian rhythms,"Semhar null Ogbagaber, Paul S Albert, Daniel null Lewin, Ronald J Iannotti, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology Statistics and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Blvd, Bethesda, MD, 20892, USA. albertp@mail.nih.gov., ",",",1,147,No,True Negative
0.3,22471679,Predicting large fetuses at birth: do multiple ultrasound examinations and longitudinal statistical modelling improve prediction?,Paediatric and perinatal epidemiology,"Jun null Zhang, Sungduk null Kim, Jagteshwar null Grewal, Paul S Albert, 22471679 null 22471679, ","MOE and Shanghai Key Laboratory of Children's Environmental Health, Xinhua Hospital, Shanghai Jiao Tong University School of Medicine and School of Public Health, Shanghai, China., Shanghai Jiaotong University Shanghai Jiao Tong University Shanghai Jiaotong University Shanghai China National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Adult,Birth Weight,Female,Fetal Macrosomia,Gestational Age,Humans,Longitudinal Studies,Models, Statistical,Predictive Value of Tests,Pregnancy,Prospective Studies,Risk Factors,Ultrasonography, Prenatal,Young Adult,",1,147,No,True Negative
0.3,22271924,Do elevated gravitational-force events while driving predict crashes and near crashes?,American journal of epidemiology,"Bruce G Simons-morton, Zhiwei null Zhang, John C Jackson, Paul S Albert, 22271924 null 22271924, ","Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, 6100 Executive Boulevard, Room 7B13M, Bethesda, MD 20892-7510, USA. mortonb@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Accidents, Traffic,Adolescent,Adolescent Behavior,Automobile Driving,Dangerous Behavior,Female,Gravitation,Humans,Logistic Models,Male,ROC Curve,Risk Assessment,",1,147,No,True Negative
0.3,22144502,Serum macrophage inhibitory cytokine-1 (MIC-1/GDF15): a potential screening tool for the prevention of colon cancer?,"Cancer epidemiology, biomarkers ","David A Brown, Kenneth W Hance, Connie J Rogers, Leah B Sansbury, Paul S Albert, Gwen null Murphy, Adeyinka O Laiyemo, Zhuoqiao null Wang, Amanda J Cross, Arthur null Schatzkin, Mark null Danta, Preeyaporn null Srasuebkul, Janaki null Amin, Matthew null Law, Samuel N Breit, Elaine null Lanza, 22144502 null 22144502, ","St Vincent's Centre for Applied Medical Research, St Vincent's Hospital, Victoria St, Sydney, NSW 2010, Australia. D.Brown@amr.org.au, University of New South Wales (UNSW) Australia University of New South Wales Sydney Australia National Cancer Institute National Cancer Institute NIH Bethesda United States Epidemiology and Genetics Research Program Epidemiology and Genomics Research Program Epidemiology and Genetics Research Program Bethesda United States National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States Howard University College of Medicine Howard Univ. College of Medicine Howard University College of Medicine Howard Univ. Coll. Med. Washington United States Information Management Services, Inc. Information Management Services, Inc Information Management Services Inc. Information Management Services, Inc. Silver Spring United States ","Adenoma,Adult,Aged,Aged, 80 and over,Animals,Anti-Inflammatory Agents, Non-Steroidal,Colonic Neoplasms,Colonic Polyps,Female,Growth Differentiation Factor 15,Humans,Male,Mass Screening,Mice,Middle Aged,Neoplasm Recurrence, Local,Risk Factors,Tumor Markers, Biological,",1,147,No,True Negative
0.3,22098768,The effect of passengers and risk-taking friends on risky driving and crashes/near crashes among novice teenagers.,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,"Bruce G Simons-morton, Marie Claude Ouimet, Zhiwei null Zhang, Sheila E Klauer, Suzanne E Lee, Jing null Wang, Rusan null Chen, Paul null Albert, Thomas A Dingus, 22098768 null 22098768, ","Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, Maryland 20892-7510, USA. mortonb@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States Universite de Sherbrooke Universit̩ de Sherbrooke University of Sherbrooke Sherbrooke Canada Virginia Polytechnic Institute and State University State University Virginia Tech Virginia Polytechnic Institute and State University Blacksburg United States Georgetown University Georgetown University Washington United States ","Accidents, Traffic,Adolescent,Adolescent Behavior,Automobile Driving,Female,Humans,Male,Peer Group,Poisson Distribution,Risk Factors,Risk-Taking,Tape Recording,Young Adult,",1,147,No,True Negative
0.3,22090268,Synthetic human parathyroid hormone 1-34 replacement therapy: a randomized crossover trial comparing pump versus injections in the treatment of chronic hypoparathyroidism.,The Journal of clinical endocrinology and metabolism,"Karen K Winer, Bo null Zhang, Joseph A Shrader, Donna null Peterson, Michaele null Smith, Paul S Albert, Gordon B Cutler, 22090268 null 22090268, ","The Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, Maryland 20892-7510, USA. winerk@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Adult,Cross-Over Studies,Drug Administration Schedule,Female,Hormone Replacement Therapy,Humans,Hypoparathyroidism,Infusion Pumps,Injections, Subcutaneous,Insulin Infusion Systems,Magnesium,Male,Middle Aged,Parathyroid Hormone,Phosphorus,Postoperative Complications,Vitamin D,",1,147,No,True Negative
0.3,22081439,A linear mixed model for predicting a binary event from longitudinal data under random effects misspecification.,Statistics in medicine,"Paul S Albert, 22081439 null 22081439, ","Biostatistics and Bioinformatics Branch, Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD 20892, USA. albertp@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Epidemiologic Research Design,Female,Fetal Development,Humans,Linear Models,Longitudinal Studies,Normal Distribution,Predictive Value of Tests,Pregnancy,Pregnancy Outcome,Ultrasonography, Prenatal,",1,147,No,True Negative
0.3,22021319,Crash and risky driving involvement among novice adolescent drivers and their parents.,American journal of public health,"Bruce G Simons-morton, Marie Claude Ouimet, Zhiwei null Zhang, Sheila E Klauer, Suzanne E Lee, Jing null Wang, Paul S Albert, Thomas A Dingus, 22021319 null 22021319, ","Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD 20892-7510, USA. mortonb@mail.nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States Universite de Sherbrooke Universit̩ de Sherbrooke University of Sherbrooke Sherbrooke Canada Virginia Polytechnic Institute and State University State University Virginia Tech Virginia Polytechnic Institute and State University Blacksburg United States ","Accidents, Traffic,Adolescent,Adult,Automobile Driving,Female,Humans,Male,Parents,Risk-Taking,",1,147,No,True Negative
0.3,21981372,Pooling designs for outcomes under a Gaussian random effects model.,Biometrics,"Yaakov null Malinovsky, Paul S Albert, Enrique F Schisterman, 21981372 null 21981372, ","Division of Epidemiology, Statistics, and Prevention Research, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, Maryland 20892, USA., National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States University of Maryland, Baltimore County University of Maryland Baltimore County Univ. of Maryland Baltimore County Baltimore United States ","Biological Markers,F2-Isoprostanes,Female,Humans,Likelihood Functions,Menstrual Cycle,Normal Distribution,Outcome Assessment (Health Care),Premenopause,Stress, Psychological,Treatment Outcome,",1,147,No,True Negative
0.3,21938267,AN APPROACH FOR JOINTLY MODELING MULTIVARIATE LONGITUDINAL MEASUREMENTS AND DISCRETE TIME-TO-EVENT DATA.,The annals of applied statistics,"Paul S Albert, Joanna H Shih, ","Eunice Kennedy Shriver National Institute of Child Health and Human Development and National Cancer Institute., ",",",1,147,No,True Negative
0.3,21908867,Latent class models for joint analysis of disease prevalence and high-dimensional semicontinuous biomarker data.,"Biostatistics (Oxford, England)","Bo null Zhang, Zhen null Chen, Paul S Albert, 21908867 null 21908867, ","Biostatistics and Bioinformatics Branch, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, MD 20892, USA. bo.zhang@nih.gov, National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Adolescent,Adult,Algorithms,Biological Markers,Biostatistics,Cross-Sectional Studies,Endometriosis,Environmental Exposure,Female,Humans,Likelihood Functions,Models, Statistical,Monte Carlo Method,Polychlorinated Biphenyls,Young Adult,",1,147,No,True Negative
